Substation Name,Nominal Voltage (kV),Primary Group,Grid Group,Firm Capacity (MVA),Maximum Load (MVA),Minimum Load (MVA),Generation Connected (MW),Generation Contracted (MW),33kV Overall Category,Overall Category,33kV Generation Capacity,33kV Wider Constraints,HV Reverse Power Flow,HV Generation Capacity,HV Fault Level,HV Wider Constraints,District,X,Y
W I E CENTRAL,33/11,BICC WREXHAM T1 / MARCHWIEL T1 / WIE CENTRAL T1,BRYMBO GT1 / LEGACY LOCAL GT1 / MARCHWIEL GT1 / MARCHWIEL GT2 / WREXHAM GT1,20.0,12.84,3.21,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,Dee Valley & Mid Wales,338039.331,350102.0
LITTLEWOODS,33/6.3,ex BIXTETH ST T1 / LITTLEWOODS T1 / PALL MALL T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,4.74,1.18,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,333970.432,390929.216
TOWER WHARF,33/11,BLACON T1 / COCOA BARRY T1 / CRANE BANK T1 / KNUTSFORD WAY T1 / TOWER WHARF T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,37.5,20.85,5.21,0.0,0.88,RED,RED,Amber,Red,Red,Green,Red,Amber,Wirral,340098.0,366748.0
BLAENAU FFESTINIOG,33/11,BLAENAU FFESTINIOG T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,2.12,0.53,1.0,0.0,RED,RED,Red,Amber,Red,Red,Green,Amber,North Wales,269586.776,345811.182
ST JAMES,33/11,BLUNDELL ST T1 / ROPEWALKS T1 / ST JAMES T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,18.53,9.32,2.33,0.0,0.0,AMBER,AMBER,Green,Amber,Amber,Amber,Amber,Amber,Merseyside,334953.888,388977.664
CROSBY,33/11,BLUNDELLSANDS (NORTH) T1 / BLUNDELLSANDS (SOUTH) T1 / CROSBY T1 / KERSHAW AVE T1 / WATERLOO T2,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,37.5,21.08,5.27,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,332880.359,400318.544
BODFARI PRODUCERS,33/11,BODFARI PRODUCERS T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,7.5,2.83,0.71,0.0,1.56,RED,AMBER,Green,Red,Green,Green,Green,Amber,Wirral,338044.617,362318.928
HPO COPPERAS HILL,33/11,BOLTON ST T1 / GREEK ST T1 / HPO COPPERAS HILL T1 / OLDHAM PLACE T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.89,3.72,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,335226.112,390375.872
TATTON ROAD,33/11,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GT1 / LITHERLAND GT1A,30.0,15.28,3.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,335942.176,396845.504
HAWLEYS LANE,33/11,BOULEVARD T1 / CHAPELFORD T1 / HAWLEYS LA T1 / WESTBROOK T1 / WINWICK QUAY T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,37.5,20.79,5.2,1.22,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,360468.096,390300.352
THAMES BOARD MILL,33/11,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,17.8,4.45,0.2,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,360283.808,386752.16
KNOTTY ASH,33/11,BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,37.5,24.89,6.22,3.5,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,340650.016,391688.672
MARSH BROWS,33/11,BURLINGTON AVE T1 / FRESHFIELD T1 / MARSH BROWS T1 / SOUTHPORT RD T1,AINTREE GT1 / FORMBY GT2A / LITHERLAND GT1B,28.0,14.7,3.67,1.8,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,329196.384,406981.504
BUTLINS,33/11,BUTLINS T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,7.5,2.91,0.73,4.2,0.0,RED,AMBER,Red,Amber,Green,Amber,Green,Amber,North Wales,242932.814,336883.11
CABLE STREET,33/11,CABLE ST T1 / GRADWELL ST T2 / OLDHAM PLACE T2,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,14.03,3.51,1.0,0.0,AMBER,RED,Green,Amber,Red,Amber,Amber,Amber,Merseyside,334524.596,390234.292
CAERSWS,33/11,CAERSWS T1,LEGACY LOCAL GT2 / NEWTOWN GT2 / OSWESTRY GT8 / WELSHPOOL GT1,7.5,3.09,0.77,1.85,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,303757.66,292656.712
HOYLAKE,33/11,CALDY T1 / HOYLAKE T1 / MEOLS T1 / WEST KIRBY SOUTH T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,15.04,3.76,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,321862.4,388779.36
CARBORUNDUM,33/11,CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,30.0,16.81,4.2,4.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,348987.845,399359.988
WINDLEHURST,33/11,CARBORUNDUM T1 / HOUGHTONS LA T1 / RAINFORD T1 / WINDLEHURST T2,RAVENHEAD G1A1 / ST HELENS GT2B / WINDLE GT1,30.0,16.81,4.2,4.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,350263.616,396672.0
CASTLE BEESTON ST,33/11,CASTLE BEESTON ST T1 / HARTFORD T2 / LEICESTER ST T1 / NORTHWICH TOWN T1 / WINNINGTON T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,37.5,20.13,5.03,0.02,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,365353.344,373318.272
UML LEVER BROM,33/11,CEREAL PARTNERS T1 / LEVER GEORGIA AVE T1 / POOL LA T1 / UML LEVER BROMBOROUGH T2,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,9.19,2.3,4.6,0.14,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,335876.8,383134.688
CLAUGHTON AVENUE,33/11,CIVIC CENTRE T1 / CLAUGHTON AVE T1 / ELECTRICITY ST T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,19.18,14.47,3.62,0.12,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Mid Cheshire,370450.336,354077.408
CLOCKFACE,33/11,CLOCKFACE T1 / GEC ST HELENS T1 / HILLS MOSS T1 / NCB SUTTON MANOR T2,BOLD G2A / PRESCOT GT1B / WIDNES GT1 / WIDNES GT2,30.0,12.84,3.21,3.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,353441.747,391545.034
SUBURBAN ROAD,33/6.3,CLUBMOOR T2 / LISTER DV A T1 / SUBURBAN RD T2,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,10.76,2.69,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337083.008,392708.352
CONIX,33/11,CONIX T1 / CONIX T2 / MEDEVA T1,HALEWOOD G1B / HALEWOOD G2B / HALEWOOD GT3 / SPEKE GT1A,20.0,7.16,1.79,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Merseyside,344062.944,384037.376
CONWY,33/11,CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,27.32,12.1,3.03,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,277535.712,377894.72
DEGANWY,33/11,CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,27.32,12.1,3.03,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,278810.912,379219.488
LLANDUDNO JUNCTION,33/11,CONWY T1 / DEGANWY T1 / LLANDUDNO JUNCTION T1,COLWYN BAY GT1 / COLWYN BAY GT2 / DOLGARROG GT2,27.32,12.1,3.03,0.0,0.0,RED,AMBER,Red,Red,Amber,Amber,Amber,Amber,North Wales,280302.685,377903.752
GATEWARTH SEWAGE,33/11,CROSSFIELDS T1 / CROSSFIELDS T2 / LEVERS CROSSFIELDS T3 / GATEWARTH SEWAGE T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,8.22,2.05,1.1,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Mid Cheshire,358251.072,387265.6
CWM DYLI,33/11,CWM DYLI T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,0.92,0.23,1.06,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,265323.119,353974.831
DAILY POST AND ECHO,33/6.3,DAILY POST & ECHO T1 / DAILY POST & ECHO T2,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,8.7,3.99,1.0,0.0,0.0,AMBER,RED,Green,Amber,Amber,Red,Red,Amber,Merseyside,333864.768,390702.88
DEESIDE IND PARK,33/11,DEESIDE IND PK T1 / DEESIDE IND PK 6TH AVE T1 / RAF SEALAND T1,DEESIDE PK GRID GT1 / SIXTH AVE GRID GT1,20.0,12.54,3.14,1.05,0.12,RED,RED,Green,Red,Red,Amber,Amber,Amber,Wirral,332981.136,370837.537
PLYMYARD,33/11,DIBBINSDALE T1 / PLYMYARD T1 / WIBP HARDKNOTT RD T1,BROMBOROUGH GT3 / ROCK FERRY GT2,20.0,10.99,2.75,0.1,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Wirral,335577.362,380465.782
EVERTON BROW,33/6.3,EVERTON BROW T1 / GARDNERS ROW T1 / SHEIL PK T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,10.74,2.68,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,335334.656,391425.824
GAERWEN VIEW,33/11,GAERWEN VIEW T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,1.7,0.43,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,247526.0,371275.0
STRETTON IND ESTATE,33/11,GIGG LA THELWALL T1 / HILLCLIFFE T1 / STOCKTON HEATH T1 / STRETTON IND EST T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,19.34,4.84,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,364717.828,383770.24
GILBROOK DOCK,33/6.6,GILBROOK DOCK T1 / HILL RD T1 / MOBIL OIL (WALLASEY) T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,18.2,8.53,2.13,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,330427.2,390116.992
MOBIL OIL WALLASEY,33/6.6,GILBROOK DOCK T1 / HILL RD T1 / MOBIL OIL (WALLASEY) T1,WALLASEY GT1 / WALLASEY GT2 / WOODSIDE GT2,18.2,8.53,2.13,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Wirral,329809.12,390471.936
NORTHGATE TERRACE,33/11,GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,21.42,5.36,0.04,0.07,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,340438.496,366706.72
STATION VIEW,33/11,GROSVENOR ST T1 / LINENHALL ST T1 / NORTHGATE TERRACE T1 / STATION VIEW T1 / TOMULAR PLACE T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,21.42,5.36,0.04,0.07,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,341721.2185,366703.4552
RUNCORN CENTRAL,33/11,HALTON RD T1 / MURDISHAW T1 / PERCIVAL LA T4 / RUNCORN CENTRAL T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,25.0,18.15,4.54,5.07,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,353809.44,381436.416
HIGHFIELD STREET A,33/11,HIGHFIELD ST T2 / LIME ST T2 / OLD HAYMARKET T1,BURLINGTON ST GT2 / LISTER DV B GT1 / PARADISE ST GT1,20.0,9.06,2.27,0.0,0.0,AMBER,AMBER,Green,Amber,Amber,Amber,Amber,Amber,Merseyside,334313.696,390834.048
HOLWAY ROAD,33/11,HOLWAY RD T1,BRYMBO GT2 / HAWARDEN GT2 / HOLYWELL GT2,7.5,4.2,1.05,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,North Wales,318129.6296,376188.8521
HOLYWELL,33/11,HOLYWELL T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,4.07,1.02,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,North Wales,314648.024,374284.969
MOBBERLEY,33/11,ILFORDS T1 / KNUTSFORD T1 / MOBBERLEY T1 / RADBROKE HALL T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,30.0,14.42,3.61,5.68,0.0,RED,RED,Amber,Red,Red,Red,Red,Amber,Mid Cheshire,377769.099,379893.662
WEST VALE,33/11,KIRKBY CENTRAL T1 / NORTHWOOD T1 / TOWER HILL (BANK LA) T1 / WESTVALE T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,17.85,4.46,0.5,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,340482.272,398458.112
LLANBEDROG,33/11,LLANBEDROG T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,1.99,0.5,0.0,5.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,231913.819,333068.933
LLANGEFNI IND ESTATE,33/11,LLANGEFNI IND EST T1 / LLANGEFNI IND EST T2,AMLWCH GT1 / CAERGEILIOG GT1,10.0,6.35,1.59,0.0,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,246253.854,374818.477
SOUTHPORT,33/11,LORD ST T1 / MARSHSIDE T1 / MULLARDS BALMORAL DV T1 / SOUTHPORT T2,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,30.0,17.69,4.42,0.0,1.21,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,336510.949,416761.434
LOWER BEBINGTON,33/11,LOWER BEBINGTON T1 / NEW FERRY T1 / SPITAL T1 / UNILEVER RESEARCH T1,BROMBOROUGH GT3 / ROCK FERRY GT2,30.0,14.48,3.62,3.87,0.08,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,332571.808,384360.256
LYMM,33/11,LYMM T1 / WHITELEGGS LA T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,10.0,8.87,2.22,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Mid Cheshire,367330.0147,387167.2862
MANOD,33/11,MANOD T1,FOUR CROSSES GT2 / MAENTWROG GT1 / MAENTWROG GT2,4.0,1.12,0.28,0.81,0.0,RED,AMBER,Red,Amber,Amber,Amber,Green,Amber,North Wales,270462.2575,343035.7945
MIDDLEWICH,33/11,MIDDLEWICH T1,ELWORTH GT1 / ELWORTH GT2 / KNUTSFORD GT1 / KNUTSFORD GT2,7.5,4.64,1.16,0.0,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,371662.103,366741.7
NANTWICH,33/11,NANTWICH T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,5.57,1.39,0.0,0.0,RED,RED,Red,Red,Red,Red,Green,Amber,Mid Cheshire,365733.771,352368.985
STONEBRIDGE LANE,33/11,ORB CL T1 / STONEBRIDGE LA T1 / STONEBRIDGE LA T2,AINTREE GT2 / FAZAKERLEY GT1 / GILLMOSS GT2,20.0,9.0,2.25,1.5,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Merseyside,339595.1628,396225.2116
ST IVEL FOODS,33/11,OTIS ELEVATOR T1 / ST IVEL FOODS T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,10.0,4.87,1.22,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Green,Amber,Merseyside,342114.688,397086.56
PENTRAETH,33/11,PENTRAETH T1,AMLWCH GT1 / CAERGEILIOG GT1,7.5,4.35,1.09,0.0,0.0,RED,AMBER,Red,Amber,Green,Green,Green,Amber,North Wales,250995.85,378502.784
RAVENHEAD RETAIL PARK,33/11,LEA GREEN T1 / PILKINGTONS HO T1 / RAVENHEAD RETAIL PK T1 / SOMERFIELD DISTRIBUTION T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,20.0,12.61,3.15,4.6,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Merseyside,351155.626,394615.364
RHUDDLAN,33/11,RHUDDLAN T1,HOLYWELL GT1 / RHYL GT1 / ST ASAPH GT2 / ST ASAPH GT4,7.5,4.13,1.03,1.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,North Wales,302174.4886,377366.9845
SNOWHILL,33/11,SNOWHILL T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,5.47,1.37,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,365010.646,352472.731
WESTON,33/11,WESTON T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,10.0,6.99,1.75,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Mid Cheshire,373551.573,352960.443
WINCHAM,33/11,WINCHAM T1,HARTFORD GT1 / LOSTOCK GT2 / WINSFORD GT1 / WINSFORD GT2,7.5,2.32,0.58,0.0,0.0,RED,AMBER,Green,Red,Green,Green,Green,Amber,Mid Cheshire,367723.812,375411.8
ABERDYFI,33/11,ABERDYFI T1,ABERYSTWYTH GT2 / RHYDLYDAN GT1,7.5,2.85,0.71,0.0,0.0,RED,AMBER,Red,Red,Green,Green,Green,Amber,Dee Valley & Mid Wales,260373.813,296138.618
ACER AVENUE,33/11,ACER AVE T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,7.5,6.57,1.64,0.13,0.0,RED,RED,Green,Red,Red,Red,Green,Amber,Mid Cheshire,371060.512,357134.752
HAMMOND ROAD,33/11,ACORNFIELD RD T1 / DICKINSONS T1 / HAMMOND RD T1 / KODAK T1,GILLMOSS GT1 / KIRKBY GT2 / SIMONSWOOD GT1,30.0,14.71,3.68,0.04,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,343449.728,399442.816
IVY AVENUE,33/11,AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,18.97,4.74,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,339495.897,385329.683
MOSSLEY HILL,33/11,AIGBURTH VALE T1 / IVY AVE T1 / MATHER AVE T1 / MOSSLEY HILL T1 / WAVERTREE T1,GARSTON GT2 / SPEKE GT3 / WAVERTREE GT1A,37.5,18.97,4.74,0.0,0.0,AMBER,RED,Green,Amber,Amber,Green,Red,Amber,Merseyside,338816.758,386859.081
AIRBUS,33/11,AIRBUS T1 / BROUGHTON RETAIL PARK T1 / MIXALLOY T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,7.01,1.75,3.09,0.0,RED,RED,Green,Red,Red,Red,Amber,Amber,Dee Valley & Mid Wales,335108.5525,364305.654
WAPPING,33/11,ALBERT DOCK T1 / KINGS DOCK T1 / KINGS DOCK T2 / WAPPING T1,LISTER DV B GT3 / SPARLING ST GT1 / WAVERTREE GT2,30.0,6.57,1.64,0.25,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,334459.116,389169.004
MERSEY ROAD,33/11,ASTMOOR IND EST T1 / MACKAMAX T1 / MERSEY RD T1 / PICOW FARM RD T1,DUTTON GT2 / MOORE GT1 / PERCIVAL LA GT1,30.0,11.08,2.77,7.74,0.0,RED,RED,Green,Red,Red,Red,Red,Amber,Wirral,351306.0,383235.0
BANASTRE ROAD,33/6.6,BANASTRE RD T1 / DOVER RD T1 / GRANTHAM CL T1,FORMBY GT2B / SOUTHPORT GT1 / SOUTHPORT GT2,9.1,10.77,2.69,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,333521.664,416040.512
BANGOR UNIVERSITY,33/11,BANGOR HOSP T1 / BANGOR UNIVERSITY T1 / EITHINOG T1 / HIRAEL T1,BANGOR GT2 / CAERNARFON GT2,30.0,12.87,3.22,4.4,0.0,RED,RED,Red,Red,Red,Red,Red,Amber,North Wales,257103.0,371860.0
HORROCKS LANE,33/11,BARBAULD ST T1 / HORROCKS LA T1 / WARRINGTON CENTRAL T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,20.0,8.64,2.16,0.0,0.0,RED,AMBER,Green,Red,Amber,Amber,Amber,Amber,Mid Cheshire,360756.736,388215.936
IRBY,33/11,BARNSTON T1 / GAYTON T1 / IRBY T1 / THINGWALL T1,HESWALL GT1 / HOYLAKE GT2 / PRENTON GRID GT3,30.0,17.49,4.37,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Wirral,325725.088,384510.336
RYLANDS ELDON ST,33/11,BEWSEY T1 / OWEN ST T1 / RODNEY ST T1 / RYLANDS ELDON ST T1,DALLAM GT1 / SANKEY BRIDGES GT1 / WARRINGTON GT3,30.0,15.87,3.97,0.21,4.05,RED,RED,Green,Red,Red,Red,Red,Amber,Mid Cheshire,361251.826,388463.367
BOOTLE,33/11,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GT1 / LITHERLAND GT1A,37.5,18.68,4.67,4.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,334644.418,395956.525
PACIFIC ROAD,33/11,BOOTLE GRID T1 / KELLOGGS T1 / PACIFIC RD T1 / WASHINGTON ST T1 / WATERLOO T1,BOOTLE GT1 / LITHERLAND GT1A,37.5,18.68,4.67,4.3,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Merseyside,333630.56,395440.8
ORRELL MOUNT,33/11,BOOTLE GRID T2 / ORRELL MOUNT T1 / SCARISBRICK AVE T1 / TATTON RD T1,BOOTLE GT1 / LITHERLAND GT1A,30.0,15.28,3.82,0.0,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Merseyside,334172.768,397032.032
HH ROBERTSON THAIN,33/11,BOWATER CONTAINERS T1 / ELLESMERE PORT LOCAL T1 / HH ROBERTSONS T1 / MOBIL OIL (E PORT) T1 / WHITBY T1,BROMBOROUGH GT2 / ELLESMERE PORT GT1 / HOOTON PK GT1A / HOOTON PK GT2A,25.5,18.22,4.56,2.5,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,340470.592,376319.232
ELECTRA WAY,33/11,BR STATION T1 / DUCHY RD T1 / ELECTRA WAY T1 / MIDLAND ROLLMAKERS T1A / NORTH WESTERN MILLS T1,COPPENHALL GT1 / CREWE GT1 / CREWE GT2A / CREWE GT4A / RADWAY GREEN GT1 / RADWAY GREEN GT2 / WHITCHURCH GT2,37.5,24.27,6.07,1.01,0.24,RED,RED,Green,Red,Red,Green,Red,Amber,Mid Cheshire,372040.534,354930.932
LATCHFORD,33/11,BRITISH ALUMINIUM LATCHFORD T1 / GREENHALL WHITLEY T1 / LATCHFORD T1 / LATCHFORD T2 / THAMES BOARD MILL T1,SANKEY BRIDGES GT3 / WARRINGTON GT5,30.0,17.8,4.45,0.2,0.0,RED,RED,Green,Red,Amber,Green,Red,Amber,Mid Cheshire,362841.248,387393.472
ST HELENS LINKWAY,33/6.6,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,8.37,2.09,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,351892.3402,394482.4054
WATERY LANE,33/6.6,BRITISH SIDAC T1 / SHERDLEY RD T1 / ST HELENS LINKWAY T1 / WATERY LA T1,BOLD G4B / RAVENHEAD G1A2 / ST HELENS GT2A,18.2,8.37,2.09,0.0,0.0,RED,RED,Green,Red,Amber,Amber,Red,Amber,Merseyside,353550.4,394126.816
BROADGREEN,33/11,BROADGREEN T1 / CROXTETH T1 / EAST PRESCOT RD (FINCH LA) T1 / KNOTTY ASH T1 / LEYFIELD RD T1,GATEACRE GT1 / HUYTON GT1 / KIRKBY GT3 / PRESCOT GT1A,37.5,24.89,6.22,3.5,0.0,RED,RED,Green,Red,Red,Green,Red,Amber,Merseyside,340838.72,390182.72
BROOK LANE,33/11,BROOK LA T1 / MANNINGS LA T1 / NEWTOWN CHESTER T1 / UPTON HEATH T1,CHESTER MAIN GT4 / CRANE BANK GT1 / GUILDEN SUTTON GT1 / SALTNEY G2A,30.0,17.51,4.38,2.0,0.0,RED,RED,Green,Red,Red,Amber,Red,Amber,Wirral,340708.864,367446.624
SUBURBAN ROAD,33/6.3,BUCKINGHAM ST T1 / EVERTON RD T1 / SUBURBAN RD T1,BOOTLE GT2A / BURLINGTON ST GT1 / LISTER DV A GT2,17.5,8.66,2.16,0.0,0.0,AMBER,RED,Green,Amber,Amber,Amber,Red,Amber,Merseyside,337083.008,392708.352
BUCKLEY,33/11,BUCKLEY T1 / BUCKLEY T2 / BUCKLEY CROSS T1,CASTLE CEMENT GT1 / HAWARDEN GT1 / SALTNEY GT1 / SALTNEY G2B,20.0,11.3,2.83,2.13,0.0,RED,RED,Green,Red,Red,Amber,Amber,Amber,Dee Valley & Mid Wales,329525.233,363542.922
